,Year,T,TM,Tm,PP,V,RA,SN,TS,FG,TN,GR
0,1946,,,,,,,,,,,
1,1950,8,11,6,5,36,0,3,21,0,0,
2,1956,4,5,3,3,21,0,2,16,0,0,
3,1957,9,11,6,6,21,0,1,14,0,0,
4,1958,8,11,5,6,37,0,2,14,0,0,
5,1960,,,,,,,,,,,
6,1962,,,,,,,,,,,
7,1964,4,5,2,82,4,18,0,0,13,0,0
8,1965,8,11,5,85,6,34,0,3,21,0,0
9,1966,12,17,8,105,8,46,0,6,29,0,0
10,1968,12,17,9,137,8,56,0,4,32,0,0
11,1970,12,16,8,213,8,55,0,5,32,0,0
12,1971,16,22,11,280,11,72,0,14,41,0,1
13,1972,16,22,11,75,9,75,0,14,39,0,1
14,1973,16,22,11,249,9,72,1,14,44,0,0
15,1974,16,23,11,366,9,73,1,10,47,0,0
16,1975,12,17,8,320,8,56,0,10,37,0,1
17,1976,12,17,8,356,7,57,0,11,37,0,1
18,1977,8,11,6,222,2,30,0,6,12,0,0
19,1980,16,22,11,338,9,64,0,10,34,0,0
20,1981,16,22,11,312,9,60,0,12,31,0,0
21,1982,8,11,5,92,4,35,0,3,30,0,0
22,1984,12,16,8,273,6,53,0,13,31,0,1
23,1985,12,16,8,167,6,52,0,14,27,0,1
24,1986,12,17,8,295,8,52,0,14,31,0,0
25,1987,16,22,11,418,9,65,0,16,25,0,1
26,1988,12,17,8,231,8,46,0,11,32,0,0
27,1989,17,23,11,362,11,68,0,20,30,0,2
28,1990,16,22,11,504,10,76,0,15,33,0,0
29,1991,17,23,11,432,10,60,0,17,31,0,0
30,1992,17,23,11,319,10,61,0,15,38,0,1
31,1993,16,23,11,362,11,78,0,15,28,0,1
32,1994,17,23,11,339,12,58,0,15,43,0,0
33,1995,17,24,11,243,12,55,0,13,33,0,0
34,1996,12,17,8,358,8,60,0,12,31,0,0
35,1997,17,24,12,474,11,68,0,20,35,0,0
36,1998,17,24,11,243,11,59,1,18,37,0,1
37,1999,8,11,5,120,5,46,0,7,38,0,1
38,2000,17,23,8,309,11,65,0,20,42,0,1
39,2001,17,23,8,251,11,57,0,15,28,0,0
40,2002,8,12,5,57,6,45,0,14,37,0,0
41,2003,18,24,12,368,11,65,0,18,29,0,1
42,2004,17,23,11,331,11,84,0,20,35,0,0
43,2005,8,12,5,245,5,31,0,9,21,0,0
44,2006,17,24,12,429,10,58,0,14,33,0,0
45,2007,12,17,8,269,8,62,0,14,40,0,1
46,2008,17,24,11,267,11,62,0,17,39,0,0
47,2009,13,18,5,162,9,49,0,12,27,0,0
48,2010,13,18,8,563,8,59,0,13,10,0,0
49,2011,13,19,8,268,7,45,0,16,20,0,0
50,2012,17,24,11,164,10,71,0,20,42,0,0
51,2013,13,18,8,100,7,53,0,13,20,0,0
52,2014,18,25,12,198,11,64,0,18,34,0,0
53,2015,17,24,11,60,10,68,0,23,47,0,0
54,2016,18,24,11,309,10,68,0,20,43,0,1
55,2017,18,25,12,362,11,58,0,22,35,0,0
56,2018,13,17,8,231,8,66,0,12,28,0,0
