;Name;Near_city;River;Dam_hgt;Res_capacityM3;Year;T;TM;Tm;PP;V;RA;SN;TS;FG;TN;GR
85;Zemrane;Khouribga;Zemrane;20.0;0.6;1950;8.0;11.0;6.0;;5.0;36.0;0.0;3.0;21.0;0.0;0.0
86;Daourat;Settat;Oum Er R'Bia;40.0;9.5;1950;8.0;11.0;6.0;;5.0;36.0;0.0;3.0;21.0;0.0;0.0
120;Taghdout;Ouarzazate;Amra;26.0;3.0;1956;4.0;5.0;3.0;;3.0;21.0;0.0;2.0;16.0;0.0;0.0
1;Safi;Safi;Asmine;18.0;2.0;1965;8.0;11.0;5.0;85.0;6.0;34.0;0.0;3.0;21.0;0.0;0.0
2;Hassan Addakhil;Errachdia;Ziz;85.0;369.0;1971;16.0;22.0;11.0;280.0;11.0;72.0;0.0;14.0;41.0;0.0;1.0
3;Mansour Eddahbi;Ouarzazate;Draa;70.0;592.0;1972;16.0;22.0;11.0;75.0;9.0;75.0;0.0;14.0;39.0;0.0;1.0
4;Youssf Ben Tachfine;Biougra;Massa;85.0;320.0;1972;16.0;22.0;11.0;75.0;9.0;75.0;0.0;14.0;39.0;0.0;1.0
5;Idriss 1??;Inaouene;Inaouene;72.0;1217.0;1973;16.0;22.0;11.0;249.0;9.0;72.0;1.0;14.0;44.0;0.0;0.0
6;Sidi Mohamed Ben Abdellah;Rabat;Bou Regreg;99.0;1025.0;1974;16.0;23.0;11.0;366.0;9.0;73.0;1.0;10.0;47.0;0.0;0.0
7;Ibn Batouta;Tanger;Mharhar;30.0;43.6;1977;8.0;11.0;6.0;222.0;2.0;30.0;0.0;6.0;12.0;0.0;0.0
8;Garde du Loukkos;Larache;Loukkos;9.0;0.0;1981;16.0;22.0;11.0;312.0;9.0;60.0;0.0;12.0;31.0;0.0;0.0
9;Mohamed Ben Abdelkrim el Khattabi;Al Hoceima;Neckor;40.0;43.0;1981;16.0;22.0;11.0;312.0;9.0;60.0;0.0;12.0;31.0;0.0;0.0
10;Timi Noutione;Kela;Tessaout;45.0;5.5;1981;16.0;22.0;11.0;312.0;9.0;60.0;0.0;12.0;31.0;0.0;0.0
11;Abdelmoumen;Agadir;Issen;94.0;216.0;1981;16.0;22.0;11.0;312.0;9.0;60.0;0.0;12.0;31.0;0.0;0.0
12;Sidi Driss;Demnate;Lakhdar;42.0;7.0;1984;12.0;16.0;8.0;273.0;6.0;53.0;0.0;13.0;31.0;0.0;1.0
13;Msakhskha;Oujda;Msakhskha;20.0;2.7;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
87;Sidi Ali;;;10.0;0.1;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
88;Sfa;Ait Baha;Sfa;16.0;0.6;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
89;Kwacem Aval;Settat;Chguigua;12.0;3.0;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
90;Imin Larbaa;Marrakech;Tighizrit;16.0;0.8;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
91;Arid;Rommani;Arid;20.0;0.7;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
92;Ait Lamrabtya;Oulmes;Kanaza;19.0;0.2;1985;12.0;16.0;8.0;167.0;6.0;52.0;0.0;14.0;27.0;0.0;1.0
14;Tlet Boubker;Tetouan;Irhane;30.0;2.8;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
15;Si El Miari;Kasbat Tadla;Takhzrit;21.0;1.1;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
16;Kheng El Hda;Oujda;Marbouha;15.0;3.8;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
17;Dkhila;Agadir;Issen;32.0;0.7;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
18;Hammou Ourzag;Bouarfta;Hammou Ourzag;14.0;1.6;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
19;Hassan 1??;Demnate;Lakhdar;145.0;273.0;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
93;Tizguit Aval;Ifrane;Tizguit;18.0;0.1;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
94;Boutaaricht;Rich;Boutaaricht;18.0;0.7;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
95;Boukerdane;Missour;Boutaaricht;22.0;0.4;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
96;Bnismir;Ouedzem;Ouedzem;16.0;0.9;1986;12.0;17.0;8.0;295.0;8.0;52.0;0.0;14.0;31.0;0.0;0.0
